ndvi,ndvi_max,evi,ndre,lai,growing_days,rainfall_mm,temp_celsius,crop_enc,yield_tha
0.2882,0.4333,0.2155,0.2591,1.4149,121,199.5,30.3,4.0,8.265
0.3567,0.4626,0.2607,0.0866,1.3456,145,140.8,23.7,4.0,9.342
0.103,0.2459,0.0613,0.1708,0.5113,117,149.9,19.1,2.0,1.19
0.2558,0.3598,0.1616,0.3274,0.9775,173,277.3,21.5,3.0,57.246
0.3161,0.3924,0.1785,0.2623,1.9578,114,187.0,37.8,4.0,7.685
0.2494,0.2922,0.1437,0.2444,1.3353,105,183.7,26.0,0.0,3.441
0.1539,0.2436,0.1034,0.1691,0.8676,152,187.2,37.0,0.0,2.613
0.3423,0.4625,0.1951,0.3437,1.5478,175,52.8,21.2,0.0,3.889
0.3603,0.4226,0.2537,0.2008,2.1886,152,83.0,25.8,3.0,65.331
0.3483,0.4253,0.2553,0.163,1.9733,103,186.4,33.6,3.0,68.952
0.3101,0.4223,0.1761,0.2402,1.4308,156,180.1,25.4,4.0,8.795
0.2746,0.3724,0.1994,0.1785,1.8728,130,150.6,32.9,3.0,62.556
0.2152,0.2986,0.1263,0.2445,0.8063,159,88.6,35.4,2.0,1.287
0.3895,0.4595,0.2748,0.278,2.2477,122,105.5,31.3,4.0,10.01
0.1789,0.3042,0.1327,0.1309,0.9089,112,167.4,34.1,4.0,6.486
0.3632,0.4229,0.206,0.0646,2.0665,116,112.5,34.8,2.0,2.013
0.2383,0.337,0.1716,0.1955,1.2718,103,130.0,30.8,2.0,1.457
0.1673,0.2559,0.0981,0.1511,0.7628,167,336.6,29.7,1.0,2.712
0.2793,0.3773,0.1895,0.1095,1.3557,175,230.4,29.9,3.0,61.401
0.2214,0.2681,0.1576,0.2408,1.3021,125,349.8,33.4,1.0,3.616
0.1719,0.3073,0.099,0.3406,0.9423,134,65.4,34.5,0.0,3.047
0.1551,0.2035,0.1014,0.2573,0.9172,181,224.0,22.4,1.0,3.335
0.1214,0.1777,0.0883,0.2483,0.7236,142,132.8,35.3,2.0,1.272
0.3307,0.4391,0.2322,0.1672,2.2272,119,144.4,18.5,2.0,1.92
0.2839,0.3583,0.1762,0.2715,1.8024,178,177.7,30.4,4.0,8.307
0.4167,0.4692,0.2935,0.1278,1.6115,118,124.0,34.5,4.0,10.47
0.3461,0.4653,0.1928,0.2125,1.9642,170,188.7,35.7,3.0,63.819
0.2855,0.4262,0.2149,0.3233,1.8836,149,187.0,22.9,0.0,3.762
0.1464,0.213,0.1124,0.3172,0.5921,170,102.1,25.1,2.0,1.114
0.3908,0.4338,0.2423,0.1611,1.3755,122,187.5,29.6,3.0,70.149
0.2252,0.3512,0.1559,0.085,1.5274,112,113.1,22.8,2.0,1.189
0.1858,0.2825,0.1434,0.3236,0.9029,105,277.8,20.6,3.0,47.743
0.1883,0.2467,0.119,0.0627,1.0233,144,92.5,33.0,4.0,6.637
0.1626,0.2438,0.0988,0.3098,0.9428,152,352.9,19.0,1.0,2.638
0.3948,0.4423,0.2663,0.2099,2.6336,184,73.9,27.6,0.0,4.459
0.3719,0.4946,0.2248,0.1428,1.8624,128,142.2,32.5,0.0,3.696
0.1665,0.2143,0.1263,0.0545,0.6094,154,97.8,18.8,0.0,2.462
0.1856,0.2966,0.1153,0.118,1.0718,180,371.3,21.3,1.0,3.559
0.3168,0.4213,0.2013,0.1036,1.9991,163,119.3,29.4,2.0,1.938
0.2705,0.3306,0.1805,0.1946,1.2294,107,58.5,19.3,0.0,3.341
0.313,0.4602,0.2161,0.3016,1.7501,174,124.7,26.8,2.0,1.99
0.2533,0.3306,0.1847,0.0608,1.48,153,99.1,36.7,2.0,1.635
0.1366,0.2105,0.0842,0.0726,0.6585,124,117.5,27.1,3.0,41.705
0.2429,0.3093,0.1893,0.1395,1.0376,161,96.2,27.8,3.0,52.934
0.2951,0.4294,0.185,0.2972,1.2734,135,149.0,30.9,3.0,57.899
0.1705,0.3154,0.1029,0.2927,1.0021,181,103.9,37.3,4.0,5.536
0.3667,0.5089,0.2655,0.2032,1.2836,115,110.4,26.9,1.0,4.976
0.228,0.3448,0.1546,0.1461,1.1473,119,220.0,21.3,3.0,56.607
0.317,0.3672,0.1969,0.2513,1.1415,171,188.8,22.4,1.0,4.149
0.2355,0.3563,0.1299,0.224,1.2571,159,89.7,30.6,0.0,3.232
0.3384,0.446,0.2262,0.3105,1.8742,168,102.3,32.3,0.0,3.846
0.2908,0.4243,0.1978,0.0709,1.0499,130,148.8,21.3,4.0,8.195
0.2338,0.3421,0.162,0.1744,1.2605,176,128.0,35.1,3.0,55.995
0.3069,0.4208,0.1943,0.2415,1.0996,111,127.9,36.9,4.0,7.089
0.2192,0.2662,0.1383,0.2924,0.9367,119,90.7,36.0,0.0,2.628
0.1722,0.2637,0.1257,0.2366,1.0488,116,92.9,19.3,0.0,2.369
0.2307,0.3071,0.137,0.0724,0.8205,115,374.8,35.9,1.0,3.407
0.156,0.3042,0.1123,0.2,0.8195,140,157.7,27.9,0.0,2.76
0.1747,0.2179,0.1139,0.2392,1.1293,165,67.3,35.8,4.0,6.061
0.2459,0.3152,0.1795,0.1321,1.5316,156,128.8,29.8,2.0,1.594
0.2907,0.4331,0.161,0.1863,1.0178,103,84.6,20.7,3.0,54.503
0.2363,0.3541,0.1614,0.2555,1.5571,123,59.0,23.2,0.0,3.118
0.3342,0.3905,0.218,0.2224,1.9979,131,67.7,25.4,0.0,3.687
0.1907,0.3341,0.1163,0.1562,0.7131,152,172.0,20.8,1.0,3.173
0.4079,0.4544,0.3047,0.0744,2.682,115,153.1,28.4,1.0,5.377
0.2841,0.4284,0.2075,0.2433,1.5834,179,95.0,27.9,2.0,1.85
0.3849,0.517,0.219,0.0829,1.8588,155,61.1,37.2,4.0,10.103
0.2803,0.4294,0.1978,0.2568,1.0688,100,66.7,30.2,0.0,3.124
0.1956,0.2915,0.1312,0.0606,1.3495,110,126.6,27.6,0.0,2.698
0.3092,0.3694,0.1777,0.2174,1.8143,163,111.8,37.5,0.0,3.572
0.1904,0.3072,0.1386,0.3186,1.1293,116,148.9,21.7,1.0,3.4
0.2574,0.4017,0.199,0.2167,1.4121,127,82.0,19.5,4.0,6.842
0.3575,0.4596,0.2239,0.152,1.7899,148,168.7,34.1,1.0,5.233
0.2722,0.3914,0.1572,0.1455,1.3499,131,120.6,19.3,1.0,4.421
0.3086,0.3611,0.2325,0.0974,1.8488,148,252.5,36.8,1.0,4.203
0.3045,0.3775,0.2201,0.0714,1.2392,163,105.0,31.2,4.0,7.518
0.3053,0.3925,0.2073,0.2852,1.7427,111,140.9,21.7,0.0,2.846
0.23,0.2909,0.1526,0.1479,1.3321,167,138.4,35.2,2.0,1.42
0.3842,0.4425,0.2395,0.0784,2.0184,182,103.4,31.6,3.0,71.975
0.1251,0.2572,0.0833,0.3059,0.722,170,62.6,27.2,2.0,0.95
0.3562,0.4157,0.2452,0.1269,2.1478,172,141.5,24.2,2.0,1.841
0.3474,0.4612,0.2235,0.1932,2.0714,108,109.0,20.3,0.0,3.555
0.1912,0.2357,0.109,0.2591,0.7237,117,130.0,28.5,2.0,1.307
0.1835,0.2361,0.1323,0.3379,0.7973,126,138.0,32.8,1.0,3.067
0.2696,0.3968,0.1569,0.2694,1.5768,149,234.5,20.4,1.0,3.972
0.1803,0.2806,0.1401,0.2464,0.7219,129,152.0,36.0,4.0,6.392
0.2748,0.4151,0.1949,0.2114,1.16,141,130.6,23.2,0.0,3.352
0.1988,0.2741,0.1259,0.0927,1.0385,157,119.5,37.1,2.0,1.49
0.1805,0.2625,0.1292,0.3448,0.6605,155,128.6,19.6,4.0,6.046
0.3785,0.4578,0.2267,0.1638,1.4614,161,68.1,35.1,2.0,1.904
0.4321,0.503,0.2927,0.2243,2.8512,121,110.3,29.3,4.0,10.744
0.3384,0.4656,0.2623,0.1162,1.4057,121,48.5,34.1,2.0,1.93
0.1306,0.2579,0.0759,0.296,0.4655,110,168.6,27.6,3.0,41.876
0.1895,0.249,0.1312,0.1388,1.0331,132,140.6,36.2,4.0,6.204
0.382,0.4584,0.2287,0.1959,2.3435,175,278.8,30.4,3.0,68.903
0.2209,0.3318,0.1461,0.1588,0.8248,154,318.9,33.5,1.0,3.837
0.206,0.3298,0.1563,0.1876,1.35,102,366.5,30.6,1.0,2.977
0.2983,0.3864,0.1725,0.0456,1.1356,164,161.8,34.1,3.0,67.21
0.3203,0.4457,0.1836,0.2691,1.3269,101,74.4,25.2,4.0,8.72
0.331,0.4757,0.2232,0.1837,1.5472,168,92.6,37.2,4.0,8.182
0.2537,0.3633,0.1707,0.1086,1.1849,133,200.9,33.1,3.0,58.523
0.2411,0.2978,0.1338,0.2307,1.6764,182,133.9,22.5,0.0,2.942
0.3419,0.4817,0.2378,0.3289,1.9907,144,109.4,18.3,0.0,3.494
0.3442,0.4503,0.2265,0.0724,1.963,152,158.2,34.2,3.0,68.143
0.2647,0.406,0.1627,0.1164,1.4699,107,225.2,33.3,3.0,55.864
0.2481,0.3296,0.1414,0.2031,1.7184,101,141.5,18.4,4.0,7.678
0.3244,0.4062,0.2203,0.2899,1.252,126,212.6,35.7,3.0,66.413
0.3152,0.4545,0.1988,0.1088,1.1782,181,156.6,25.1,4.0,8.667
0.2167,0.3204,0.1226,0.1818,1.3537,101,102.8,25.0,3.0,51.461
0.1139,0.2092,0.087,0.2991,0.4537,176,31.2,18.5,2.0,1.282
0.3183,0.3679,0.2174,0.0977,1.2494,128,205.4,22.5,3.0,61.091
0.3708,0.4485,0.285,0.189,1.3594,109,113.9,36.4,2.0,1.739
0.2234,0.3299,0.135,0.0661,1.2179,137,64.0,22.1,2.0,1.55
0.2821,0.4055,0.1718,0.3071,1.3643,105,397.4,31.8,1.0,3.799
0.4016,0.4786,0.2754,0.0743,1.4405,103,253.0,27.2,3.0,74.623
0.2714,0.3805,0.2008,0.2107,1.3331,115,108.0,30.3,4.0,7.288
0.3837,0.4928,0.2123,0.2475,1.996,161,126.5,35.1,4.0,9.82
0.2985,0.4028,0.1847,0.1402,1.1801,104,317.0,30.9,1.0,3.996
0.2196,0.2777,0.1647,0.267,0.9451,180,156.8,33.7,0.0,3.345
0.1602,0.3097,0.1209,0.1551,0.5852,135,89.1,37.2,2.0,1.315
0.2286,0.294,0.1693,0.2576,0.8243,159,141.7,19.2,2.0,1.414
0.2953,0.3672,0.1825,0.0993,1.3392,121,270.3,25.4,3.0,57.369
0.3379,0.3962,0.2263,0.1473,2.277,116,191.5,31.3,0.0,3.477
0.1921,0.3295,0.1367,0.334,1.0003,183,38.8,18.2,2.0,1.458
0.407,0.5142,0.2248,0.1738,2.3406,170,174.0,18.2,3.0,73.514
0.1299,0.1744,0.0791,0.1627,0.7269,178,122.2,31.6,0.0,2.792
0.3264,0.4115,0.1983,0.167,2.0834,145,177.4,18.2,1.0,4.768
0.1912,0.2569,0.1162,0.2853,1.3208,168,158.5,26.9,0.0,2.677
0.1509,0.2351,0.1157,0.1003,1.0445,122,100.2,34.3,3.0,40.547
0.2069,0.2657,0.1534,0.2204,1.1284,101,244.9,23.8,1.0,3.093
0.1857,0.2621,0.1293,0.3375,1.1857,129,389.7,33.2,1.0,3.346
0.3353,0.4566,0.2451,0.2626,2.192,170,155.1,34.6,3.0,65.353
0.1508,0.2087,0.1026,0.0943,1.0535,101,88.5,18.9,2.0,1.215
0.4131,0.4724,0.2985,0.12,2.0576,128,246.9,35.8,3.0,67.49
0.3681,0.4469,0.2383,0.3487,2.2618,123,371.4,27.9,1.0,4.667
0.3792,0.5139,0.2703,0.1161,2.0835,159,99.9,28.8,2.0,2.331
0.4097,0.4979,0.2651,0.236,1.6048,174,215.8,34.5,3.0,81.508
0.1633,0.3094,0.1083,0.3499,0.815,141,175.4,28.8,0.0,2.782
0.3385,0.3953,0.2034,0.0671,2.016,180,296.7,25.8,3.0,64.617
0.2345,0.3498,0.1758,0.2409,1.6112,134,51.3,19.7,4.0,7.678
0.3497,0.436,0.2474,0.2436,2.0259,171,124.6,23.0,3.0,65.944
0.3193,0.4533,0.2269,0.0475,2.0991,152,87.1,31.6,0.0,3.576
0.1737,0.2319,0.1025,0.2417,0.8919,138,136.3,27.2,1.0,2.811
0.423,0.4777,0.3156,0.0569,1.92,120,139.3,22.5,4.0,10.876
0.1934,0.2882,0.1344,0.1195,1.3063,142,143.2,35.8,2.0,1.516
0.3421,0.4164,0.2297,0.2728,1.5984,169,301.4,37.3,1.0,4.329
0.1348,0.23,0.0891,0.2099,0.6379,101,119.7,29.4,0.0,2.234
0.2841,0.3624,0.1701,0.1231,1.7855,164,148.7,30.9,2.0,1.838
0.4187,0.5039,0.3015,0.0944,1.5864,100,170.6,34.9,3.0,76.278
0.1421,0.2041,0.108,0.1202,0.968,157,279.8,21.1,3.0,51.124
0.3845,0.4597,0.2903,0.2292,1.4795,102,173.6,30.2,3.0,69.734
0.1664,0.2211,0.1045,0.2551,0.7357,178,65.9,23.7,0.0,2.907
0.3427,0.424,0.2255,0.2119,1.353,111,241.9,32.6,1.0,4.884
0.2113,0.3101,0.1292,0.2229,1.0599,107,101.4,33.3,0.0,2.653
0.1271,0.232,0.078,0.1471,0.6784,129,262.3,33.3,3.0,39.609
0.3668,0.4717,0.2518,0.349,1.286,113,156.5,27.0,3.0,69.059
0.2713,0.3251,0.1606,0.1978,1.1809,153,179.9,23.8,4.0,8.448
0.3607,0.4422,0.2056,0.2765,1.5756,134,99.1,37.5,2.0,2.161
0.404,0.5299,0.2949,0.3254,2.2317,131,149.6,25.9,1.0,4.553
0.2355,0.3841,0.1418,0.3223,1.0903,157,110.7,31.4,0.0,3.012
0.1129,0.2258,0.0865,0.2431,0.646,136,92.9,25.1,2.0,0.936
0.4111,0.5173,0.3045,0.0711,2.7483,160,128.5,27.7,3.0,77.312
0.2404,0.3015,0.1555,0.0753,1.6547,168,196.0,19.5,4.0,7.16
0.1372,0.2476,0.0913,0.2794,0.8779,106,150.5,26.5,3.0,42.158
0.1795,0.23,0.1061,0.3245,0.904,182,106.0,29.5,0.0,2.788
0.1625,0.2572,0.1256,0.2122,0.6324,136,88.2,30.9,2.0,1.053
0.3145,0.3872,0.1802,0.2466,1.8837,163,117.9,37.0,4.0,8.67
0.1414,0.2635,0.0828,0.177,0.6322,114,235.1,28.8,3.0,41.96
0.2525,0.325,0.15,0.1146,1.2409,180,97.2,31.8,2.0,1.528
0.3571,0.4897,0.2736,0.3316,1.4666,180,87.3,26.1,2.0,1.968
0.2735,0.3837,0.2105,0.104,1.4158,127,202.7,23.1,3.0,55.401
0.2129,0.3476,0.1387,0.1013,0.8217,156,221.2,33.5,3.0,55.157
0.2651,0.3106,0.152,0.253,1.3637,128,109.2,37.4,0.0,3.169
0.3977,0.4462,0.2794,0.2541,2.7398,180,252.6,34.4,3.0,71.867
0.3942,0.4917,0.2566,0.0536,2.1779,146,186.0,32.2,0.0,3.547
0.2698,0.3191,0.1596,0.2793,1.0511,155,129.9,35.1,3.0,56.83
0.3687,0.4625,0.2153,0.1168,2.3601,121,121.1,26.1,2.0,1.995
0.2891,0.3592,0.1888,0.2754,1.6877,120,66.7,30.8,4.0,7.857
0.1157,0.181,0.0872,0.1762,0.6997,150,30.6,34.0,2.0,1.377
0.363,0.4169,0.2503,0.2055,1.5536,171,191.1,29.9,4.0,10.6
0.2719,0.3502,0.1854,0.178,1.1261,136,127.3,24.4,0.0,3.262
0.2941,0.4181,0.2172,0.1631,1.4658,157,277.9,30.2,3.0,63.43
0.155,0.23,0.1172,0.2862,0.593,136,366.7,26.7,1.0,2.988
0.2202,0.3452,0.1378,0.1458,1.2849,178,155.9,18.4,1.0,3.858
0.3454,0.4407,0.1948,0.0501,1.5153,141,115.1,28.5,0.0,3.65
0.1518,0.1978,0.1077,0.2414,0.9572,164,164.8,33.5,4.0,6.28
0.3908,0.4451,0.3028,0.2394,1.7037,114,195.6,29.4,3.0,67.98
0.4064,0.5074,0.2644,0.1874,1.9159,136,250.4,37.2,1.0,5.677
0.2116,0.2782,0.125,0.2971,1.0824,139,192.3,36.8,3.0,47.75
0.3042,0.4449,0.1691,0.1876,1.6685,153,93.8,21.1,2.0,1.655
0.1656,0.2716,0.1176,0.1027,0.9226,152,42.8,23.8,2.0,1.429
0.1265,0.1761,0.0883,0.0925,0.699,138,112.0,27.8,0.0,2.419
0.1481,0.2191,0.1091,0.1775,0.6438,168,122.8,32.9,2.0,1.401
0.3848,0.435,0.2922,0.1468,2.2461,111,178.5,36.7,0.0,4.015
0.2167,0.3643,0.1271,0.2087,0.791,177,95.5,30.0,3.0,50.427
0.1572,0.253,0.0865,0.3246,0.5595,157,292.8,23.6,1.0,3.449
0.2915,0.4394,0.1793,0.1806,1.1391,134,136.0,23.7,4.0,9.077
0.1306,0.1959,0.0852,0.1618,0.5948,113,63.2,20.9,0.0,2.065
0.4077,0.4635,0.2785,0.3332,2.0889,128,150.0,27.3,3.0,79.363
0.3941,0.4791,0.2621,0.3466,1.4573,171,277.8,20.6,3.0,80.391
0.2187,0.2821,0.1567,0.2183,1.4457,101,114.9,30.5,0.0,2.498
0.3277,0.4586,0.2198,0.141,2.0856,114,144.7,24.7,2.0,1.963
0.4012,0.4728,0.28,0.2483,1.8671,100,84.1,26.9,4.0,10.251
0.2396,0.3049,0.1706,0.2416,0.9301,162,128.0,23.4,0.0,3.277
0.3033,0.3836,0.2144,0.1443,1.669,167,97.3,27.0,0.0,2.652
0.1963,0.2808,0.1358,0.1615,1.1172,168,199.7,21.0,4.0,6.766
0.2292,0.2961,0.1737,0.1081,1.0055,146,112.0,24.0,4.0,7.376
0.1431,0.2295,0.1016,0.0894,0.8896,105,122.9,24.1,1.0,3.404
0.2032,0.2776,0.1211,0.0991,1.1083,169,237.1,30.9,1.0,3.832
0.2705,0.4069,0.1652,0.1119,1.2074,121,87.0,29.0,2.0,1.616
0.2566,0.3831,0.1915,0.1463,1.7858,133,349.6,29.3,1.0,3.702
0.2591,0.3566,0.1541,0.2782,0.9941,100,149.9,18.7,1.0,4.27
0.4351,0.5824,0.2655,0.2474,1.6505,105,132.4,29.8,4.0,11.324
0.4464,0.5683,0.2984,0.3393,3.0343,109,116.1,35.6,4.0,11.119
0.3315,0.4706,0.2012,0.126,2.0943,123,97.1,36.4,4.0,9.357
0.1707,0.3196,0.1231,0.2044,0.8329,103,231.8,36.8,1.0,2.612
0.1905,0.2696,0.1267,0.2201,0.9304,176,140.3,37.8,1.0,3.489
0.2233,0.3617,0.1699,0.1309,1.1057,160,142.6,38.0,2.0,1.675
0.2198,0.3506,0.1704,0.2976,1.0489,155,67.4,19.0,0.0,2.964
0.1601,0.2101,0.116,0.293,0.6807,143,94.8,22.7,3.0,45.111
0.1618,0.2229,0.0996,0.1567,1.078,100,50.5,37.4,2.0,1.427
0.2144,0.2852,0.1254,0.3347,0.8148,119,185.0,19.3,0.0,3.218
0.1197,0.2025,0.0856,0.0584,0.491,136,149.5,37.5,0.0,2.233
0.2871,0.3675,0.1711,0.2136,1.143,151,276.0,23.1,1.0,4.3
0.1189,0.26,0.0674,0.0514,0.4992,114,96.8,32.7,2.0,1.145
0.1647,0.2304,0.1151,0.1443,1.0651,137,61.4,18.7,2.0,1.12
0.4211,0.484,0.3077,0.1384,2.8401,121,54.3,29.2,4.0,10.105
0.2424,0.3358,0.177,0.3093,1.0901,121,241.2,37.1,1.0,3.987
0.3541,0.4057,0.2365,0.2987,1.6847,153,140.6,23.0,1.0,4.172
0.2077,0.2601,0.1503,0.1924,0.9917,124,30.2,27.6,2.0,1.367
0.102,0.2362,0.0794,0.1571,0.4329,108,61.3,25.7,2.0,1.281
0.2071,0.267,0.1476,0.1506,1.1373,103,46.6,31.7,2.0,1.265
0.1078,0.1578,0.0701,0.3029,0.5469,125,98.4,20.2,0.0,2.125
0.3583,0.4964,0.2376,0.0659,1.9828,141,169.1,29.9,0.0,3.711
0.3985,0.4596,0.2903,0.3421,1.8503,122,195.1,29.1,1.0,5.281
0.3343,0.4593,0.1925,0.3216,2.0129,108,137.6,37.1,4.0,8.786
0.1903,0.3064,0.1319,0.1258,1.1802,149,87.9,33.7,0.0,2.779
0.2384,0.3069,0.1823,0.3139,1.0232,171,357.8,34.5,1.0,3.471
0.1669,0.2785,0.1085,0.0697,1.1275,124,261.8,28.2,3.0,55.211
0.2341,0.3548,0.1449,0.2186,0.8196,141,323.7,22.1,1.0,3.485
0.35,0.4942,0.2676,0.1771,1.4943,151,85.7,37.8,2.0,1.802
0.415,0.5131,0.2372,0.1883,1.8796,156,215.1,23.5,3.0,77.104
0.3898,0.52,0.2953,0.1059,1.8331,140,263.8,31.4,1.0,4.519
0.3256,0.452,0.206,0.2307,1.6378,155,117.2,34.0,4.0,8.511
0.2893,0.3304,0.1595,0.3466,1.2182,163,72.1,18.1,4.0,7.908
0.3914,0.515,0.2541,0.3027,2.734,111,111.5,26.6,0.0,3.777
0.2172,0.3242,0.1372,0.182,1.047,144,188.6,25.5,1.0,4.474
0.1403,0.2832,0.08,0.2178,0.7069,176,362.1,19.4,1.0,2.973
0.3379,0.3977,0.2579,0.2885,1.8603,126,250.7,36.2,3.0,62.779
0.3635,0.4934,0.2825,0.1835,2.5018,146,303.0,18.6,1.0,4.975
0.2436,0.3315,0.1454,0.1552,1.3888,105,132.1,37.7,3.0,54.349
0.3267,0.4261,0.1824,0.3244,2.0877,161,272.8,20.2,1.0,5.057
0.2076,0.3202,0.1186,0.3474,0.7727,176,95.1,28.7,0.0,2.737
0.2416,0.376,0.1802,0.3151,1.3007,159,167.9,24.5,0.0,3.058
0.3394,0.4775,0.1873,0.3129,1.2537,165,43.2,19.3,2.0,1.889
0.3118,0.404,0.2075,0.1344,2.0845,181,112.1,35.2,2.0,1.883
0.2519,0.3439,0.1591,0.176,1.3834,114,103.1,25.9,2.0,1.778
0.3739,0.4307,0.2678,0.2807,2.1812,132,247.9,23.9,3.0,70.499
0.3885,0.4799,0.2177,0.1558,1.6032,100,112.0,20.7,0.0,4.302
0.1719,0.2367,0.1197,0.2146,0.9075,111,72.8,18.3,2.0,1.056
0.3332,0.4278,0.2264,0.1709,1.3885,113,32.5,20.5,2.0,1.56
0.4318,0.5428,0.2635,0.2482,3.0123,129,126.5,28.7,4.0,10.813
0.3839,0.462,0.2845,0.2771,2.6438,173,379.5,29.0,1.0,4.813
0.3084,0.4066,0.2292,0.1247,1.1898,181,191.1,35.1,0.0,3.642
0.2919,0.4201,0.2076,0.3018,1.4251,145,129.6,36.5,0.0,2.955
0.1915,0.3409,0.1389,0.1852,0.7675,169,192.2,28.8,3.0,45.374
0.2689,0.3983,0.1573,0.0774,1.172,146,209.4,30.2,1.0,3.986
0.2154,0.291,0.1453,0.2216,1.2552,156,122.9,30.5,2.0,1.38
0.222,0.2843,0.1556,0.1974,1.3526,176,117.5,23.1,4.0,8.061
0.3019,0.4003,0.1924,0.2273,1.9234,105,169.1,27.4,4.0,9.126
0.3158,0.4418,0.1868,0.105,1.7074,130,124.3,32.1,2.0,2.095
0.1761,0.2813,0.1246,0.217,0.8338,105,53.5,26.9,0.0,3.034
0.1874,0.306,0.1255,0.2519,0.8951,115,186.5,35.3,1.0,3.558
0.2447,0.3574,0.149,0.3202,1.6891,177,103.8,20.7,3.0,53.803
0.1871,0.2437,0.1218,0.3325,1.2762,119,175.5,28.0,3.0,43.713
0.1608,0.208,0.1191,0.1124,0.6869,101,82.3,27.3,2.0,1.31
0.1798,0.3047,0.1328,0.3435,1.1269,141,179.2,19.4,4.0,5.441
0.3998,0.5352,0.3101,0.0961,2.0046,134,116.7,26.2,1.0,5.558
0.3408,0.4815,0.2547,0.22,1.7883,174,124.6,18.2,0.0,3.912
0.1909,0.2744,0.136,0.1076,1.094,180,222.0,34.0,1.0,3.567
0.3289,0.4778,0.2528,0.0718,1.7043,152,138.9,25.5,2.0,2.03
0.2306,0.2953,0.1352,0.0461,1.2391,115,62.8,18.3,4.0,6.898
0.276,0.3778,0.1547,0.1063,1.411,163,251.8,18.2,3.0,60.67
0.3829,0.4403,0.2294,0.229,2.434,101,74.2,33.8,4.0,9.034
0.3286,0.4747,0.2153,0.2729,1.8013,168,190.6,36.8,3.0,62.49
0.3406,0.4736,0.2138,0.0753,1.7284,160,134.2,27.4,2.0,1.578
0.154,0.2982,0.0922,0.2103,1.0589,156,100.5,22.3,3.0,43.973
0.2363,0.3787,0.1413,0.3356,0.8884,103,98.1,30.9,0.0,3.023
0.1922,0.3368,0.1148,0.1928,0.7878,143,57.8,18.3,0.0,2.952
