location_id,location_name,province,year,season_name,season_type,crop_type,lat,lon,sensor,n_images,growing_days,rainfall_mm,temp_celsius,soil_moisture,ndvi,evi,ndwi,ndre,lai,bsi,ndvi_std,ndvi_min,ndvi_max,b2,b3,b4,b8,b11
SD08,Jacobabad,Sindh,2000,Rabi_2000,rabi,wheat,28.2769,68.4376,L7,4,150,100,22.0,21.2,0.1574,0.1069,-0.2463,0.1338,0.319,0.1138,0.0436,0.092,0.2228,0.138,0.1661,0.1661,0.22817,0.25033
SD09,Umerkot,Sindh,2000,Rabi_2000,rabi,cotton,25.3616,69.7362,L7,4,150,100,22.0,23.4,0.1137,0.0852,-0.2105,0.0967,0.226,0.1383,0.0371,0.058,0.1694,0.17249,0.21043,0.21043,0.26444,0.30467
SD10,Badin,Sindh,2000,Rabi_2000,rabi,rice,24.6558,68.8413,L7,4,150,100,22.0,20.7,0.1752,0.1222,-0.255,0.1489,0.358,0.1004,0.0463,0.1057,0.2446,0.14132,0.16708,0.16708,0.23808,0.25271
KP01,Peshawar,KP,2000,Rabi_2000,rabi,wheat,34.0151,71.5249,L7,5,150,100,14.0,12.2,0.3202,0.2029,-0.3963,0.2722,0.706,0.0253,0.068,0.2182,0.4222,0.1032,0.12292,0.12292,0.23873,0.20519
KP02,Mardan,KP,2000,Rabi_2000,rabi,sugarcane,34.201,72.0476,L7,5,150,100,14.0,19.8,0.2067,0.1211,-0.2701,0.1757,0.429,0.0871,0.051,0.1302,0.2832,0.10822,0.12378,0.12378,0.1883,0.1956
KP03,Charsadda,KP,2000,Rabi_2000,rabi,wheat,34.1483,71.7311,L7,5,150,100,14.0,19.1,0.2079,0.1271,-0.2824,0.1768,0.432,0.127,0.0512,0.1311,0.2847,0.11694,0.13703,0.13703,0.20898,0.23885
KP04,Swabi,KP,2000,Rabi_2000,rabi,sugarcane,34.1214,72.4698,L7,10,150,100,14.0,13.8,0.3261,0.2017,-0.3696,0.2772,0.721,0.0209,0.0689,0.2228,0.4294,0.10102,0.11152,0.11152,0.21944,0.19395
KP05,Nowshera,KP,2000,Rabi_2000,rabi,rice,34.0153,71.9746,L7,5,150,100,14.0,18.0,0.2485,0.1535,-0.2995,0.2112,0.527,0.0503,0.0573,0.1626,0.3345,0.11032,0.12318,0.12318,0.20464,0.19419
KP06,Swat,KP,2000,Rabi_2000,rabi,rice,34.7717,72.36,L7,10,150,100,14.0,23.1,0.1411,0.085,-0.2153,0.12,0.284,0.116,0.0412,0.0793,0.2029,0.11676,0.13611,0.13611,0.18084,0.20703
KP07,Malakand,KP,2000,Rabi_2000,rabi,wheat,34.5683,71.9308,L7,5,150,100,14.0,18.8,0.2241,0.1205,-0.2871,0.1905,0.47,0.0983,0.0536,0.1437,0.3045,0.09497,0.10869,0.10869,0.17147,0.18477
KP08,Bannu,KP,2000,Rabi_2000,rabi,cotton,32.9847,70.6041,L7,9,150,100,14.0,19.7,0.1923,0.1206,-0.2722,0.1635,0.397,0.1003,0.0488,0.1191,0.2655,0.11887,0.14076,0.14076,0.20778,0.22142
KP09,Dera Ismail Khan,KP,2000,Rabi_2000,rabi,wheat,31.8335,70.9016,L7,4,150,100,14.0,23.9,0.1067,0.0718,-0.2011,0.0907,0.211,0.1496,0.036,0.0527,0.1607,0.14731,0.17877,0.17877,0.22146,0.26599
KP10,Abbottabad,KP,2000,Rabi_2000,rabi,wheat,34.1558,73.2194,L7,5,150,100,14.0,15.3,0.2856,0.1643,-0.3447,0.2428,0.618,0.0736,0.0628,0.1914,0.3798,0.09401,0.10719,0.10719,0.19289,0.19853
BL01,Quetta,Balochistan,2000,Rabi_2000,rabi,wheat,30.1798,66.975,L7,5,150,100,12.0,24.9,0.0865,0.07,-0.1853,0.0735,0.17,0.1538,0.033,0.037,0.136,0.2008,0.24563,0.24563,0.29214,0.35347
BL02,Turbat,Balochistan,2000,Rabi_2000,rabi,mango,26.0028,63.042,L7,1,150,100,12.0,23.0,0.1497,0.1265,-0.2172,0.1273,0.303,0.1184,0.0425,0.0859,0.2135,0.19018,0.21869,0.21869,0.29571,0.34005
BL03,Hub,Balochistan,2000,Rabi_2000,rabi,cotton,25.3847,66.9875,L7,13,150,100,12.0,24.2,0.1131,0.0719,-0.1964,0.0961,0.225,0.2213,0.037,0.0576,0.1686,0.13529,0.16049,0.16049,0.20142,0.31032
BL04,Nasirabad,Balochistan,2000,Rabi_2000,rabi,rice,29.2,68.4,L7,4,150,100,12.0,22.9,0.0892,0.0738,-0.2175,0.0758,0.175,0.202,0.0334,0.0391,0.1393,0.21755,0.28302,0.28302,0.33846,0.45929
BL05,Pishin,Balochistan,2000,Rabi_2000,rabi,wheat,30.5833,66.9833,L7,6,150,100,12.0,24.2,0.082,0.0656,-0.1962,0.0697,0.161,0.1677,0.0323,0.0335,0.1305,0.20855,0.26331,0.26331,0.31034,0.37744
BL06,Khuzdar,Balochistan,2000,Rabi_2000,rabi,wheat,27.8167,66.6167,L7,4,150,100,12.0,18.6,0.2028,0.1696,-0.2892,0.1724,0.42,0.0849,0.0504,0.1272,0.2784,0.17628,0.21193,0.21193,0.31975,0.32547
BL07,Sibi,Balochistan,2000,Rabi_2000,rabi,wheat,29.5432,67.877,L7,13,150,100,12.0,20.5,0.1754,0.1384,-0.2591,0.1491,0.359,0.1039,0.0463,0.106,0.2449,0.16854,0.20093,0.20093,0.28644,0.30762
BL08,Loralai,Balochistan,2000,Rabi_2000,rabi,wheat,30.37,68.59,L7,4,150,100,12.0,24.4,0.0867,0.075,-0.1938,0.0737,0.17,0.169,0.033,0.0372,0.1362,0.23315,0.29014,0.29014,0.34524,0.42966
PB01,Lahore,Punjab,2000,Kharif_2000,kharif,wheat,31.5204,74.3587,L7,4,165,280,32.0,19.1,0.2305,0.1564,-0.2812,0.1959,0.485,0.0568,0.0546,0.1486,0.3124,0.12648,0.14098,0.14098,0.22544,0.21931
PB02,Faisalabad,Punjab,2000,Kharif_2000,kharif,cotton,31.4187,73.0791,L7,9,165,280,32.0,22.9,0.1409,0.0999,-0.2175,0.1197,0.283,0.0922,0.0411,0.0793,0.2026,0.14742,0.17271,0.17271,0.22936,0.23928
PB03,Multan,Punjab,2000,Kharif_2000,kharif,wheat,30.1978,71.4711,L7,7,165,280,32.0,25.1,0.0912,0.0689,-0.1822,0.0775,0.179,0.1089,0.0337,0.0407,0.1417,0.17358,0.20902,0.20902,0.25094,0.26635
PB04,Gujranwala,Punjab,2000,Kharif_2000,kharif,rice,32.1877,74.1945,L7,4,165,280,32.0,21.1,0.1909,0.1471,-0.2477,0.1622,0.393,0.0651,0.0486,0.118,0.2638,0.15265,0.17201,0.17201,0.25316,0.25405
PB05,Sheikhupura,Punjab,2000,Kharif_2000,kharif,rice,31.7167,73.985,L7,4,165,280,32.0,19.4,0.2059,0.1378,-0.2772,0.175,0.427,0.0778,0.0509,0.1295,0.2823,0.12687,0.14765,0.14765,0.2242,0.22682
PB06,Okara,Punjab,2000,Kharif_2000,kharif,wheat,30.8101,73.449,L7,4,165,280,32.0,20.4,0.1741,0.1213,-0.2598,0.1479,0.356,0.1111,0.0461,0.105,0.2433,0.14228,0.17034,0.17034,0.24214,0.26308
PB07,Sahiwal,Punjab,2000,Kharif_2000,kharif,cotton,30.6706,73.1064,L7,9,165,280,32.0,18.5,0.2286,0.1706,-0.2909,0.1943,0.48,0.0539,0.0543,0.1472,0.31,0.14808,0.16924,0.16924,0.26957,0.25206
PB08,Vehari,Punjab,2000,Kharif_2000,kharif,cotton,30.0454,72.3519,L7,5,165,280,32.0,24.0,0.1198,0.0967,-0.2006,0.1019,0.239,0.1054,0.038,0.0628,0.1768,0.19,0.22428,0.22428,0.28535,0.30175
PB09,Lodhran,Punjab,2000,Kharif_2000,kharif,wheat,29.5367,71.6314,L7,10,165,280,32.0,23.4,0.137,0.1148,-0.2098,0.1165,0.275,0.0941,0.0406,0.0761,0.1979,0.19734,0.2293,0.2293,0.30212,0.31132
PB10,Khanewal,Punjab,2000,Kharif_2000,kharif,sugarcane,30.3013,71.9325,L7,5,165,280,32.0,20.0,0.1995,0.1584,-0.2673,0.1696,0.413,0.0559,0.0499,0.1247,0.2743,0.16832,0.19432,0.19432,0.29116,0.26988
PB11,Rahim Yar Khan,Punjab,2000,Kharif_2000,kharif,sugarcane,28.4212,70.2957,L7,5,165,280,32.0,21.9,0.1544,0.1216,-0.2349,0.1313,0.313,0.0874,0.0432,0.0896,0.2192,0.17433,0.20612,0.20612,0.2814,0.28334
PB12,Sialkot,Punjab,2000,Kharif_2000,kharif,rice,32.4945,74.5229,L7,7,165,280,32.0,22.3,0.1498,0.1001,-0.2278,0.1273,0.303,0.0866,0.0425,0.086,0.2135,0.13633,0.16028,0.16028,0.21675,0.21938
PB13,Kasur,Punjab,2000,Kharif_2000,kharif,wheat,31.1162,74.449,L7,13,165,280,32.0,21.8,0.1548,0.1094,-0.2369,0.1316,0.313,0.118,0.0432,0.09,0.2196,0.14321,0.16991,0.16991,0.23214,0.26446
PB14,Jhang,Punjab,2000,Kharif_2000,kharif,cotton,31.2681,72.3162,L7,5,165,280,32.0,22.8,0.14,0.1066,-0.2204,0.119,0.282,0.0838,0.041,0.0785,0.2015,0.16542,0.19535,0.19535,0.25897,0.259
PB15,Bahawalpur,Punjab,2000,Kharif_2000,kharif,cotton,29.3956,71.6836,L7,5,165,280,32.0,22.2,0.1681,0.1381,-0.2306,0.1429,0.343,0.0731,0.0452,0.1003,0.2359,0.18207,0.2074,0.2074,0.29122,0.28698
SD01,Hyderabad,Sindh,2000,Kharif_2000,kharif,rice,25.396,68.3578,L7,10,165,280,35.0,21.8,0.1531,0.1265,-0.2362,0.1301,0.31,0.1022,0.043,0.0886,0.2176,0.19425,0.23093,0.23093,0.31441,0.32697
SD02,Sukkur,Sindh,2000,Kharif_2000,kharif,wheat,27.7052,68.8574,L7,5,165,280,35.0,23.0,0.127,0.0961,-0.2164,0.108,0.254,0.1099,0.0391,0.0683,0.1857,0.17317,0.20823,0.20823,0.26882,0.28367
SD03,Larkana,Sindh,2000,Kharif_2000,kharif,rice,27.558,68.2247,L7,4,165,280,35.0,18.0,0.2494,0.1891,-0.3002,0.212,0.529,0.0326,0.0574,0.1633,0.3355,0.14722,0.16435,0.16435,0.27355,0.24375
SD04,Nawabshah,Sindh,2000,Kharif_2000,kharif,cotton,26.2442,68.41,L7,3,165,280,35.0,21.7,0.1533,0.1134,-0.2384,0.1303,0.31,0.1001,0.043,0.0888,0.2178,0.1624,0.1939,0.1939,0.2641,0.27235
SD05,Mirpurkhas,Sindh,2000,Kharif_2000,kharif,rice,25.5279,69.0176,L7,4,165,280,35.0,24.8,0.1101,0.0907,-0.1874,0.0936,0.218,0.101,0.0365,0.0554,0.1648,0.18778,0.21998,0.21998,0.27441,0.29477
SD06,Khairpur,Sindh,2000,Kharif_2000,kharif,sugarcane,27.5295,68.7592,L7,4,165,280,35.0,21.2,0.1679,0.127,-0.2459,0.1427,0.342,0.0827,0.0452,0.1001,0.2357,0.1643,0.1934,0.1934,0.27144,0.26794
SD07,Sanghar,Sindh,2000,Kharif_2000,kharif,cotton,26.0423,68.9499,L7,4,165,280,35.0,22.3,0.1552,0.1281,-0.2275,0.132,0.314,0.083,0.0433,0.0903,0.2202,0.18362,0.21334,0.21334,0.29175,0.2953
SD08,Jacobabad,Sindh,2000,Kharif_2000,kharif,wheat,28.2769,68.4376,L7,4,165,280,35.0,22.4,0.1531,0.1185,-0.2274,0.1301,0.31,0.0882,0.043,0.0886,0.2176,0.17,0.19836,0.19836,0.27007,0.27464
SD09,Umerkot,Sindh,2000,Kharif_2000,kharif,cotton,25.3616,69.7362,L7,4,165,280,35.0,25.6,0.0921,0.0811,-0.1735,0.0783,0.181,0.111,0.0338,0.0414,0.1428,0.21412,0.25272,0.25272,0.30402,0.33383
SD10,Badin,Sindh,2000,Kharif_2000,kharif,rice,24.6558,68.8413,L7,3,165,280,35.0,21.2,0.1816,0.1374,-0.2467,0.1544,0.373,0.0668,0.0472,0.1108,0.2524,0.15788,0.18097,0.18097,0.26129,0.25268
KP01,Peshawar,KP,2000,Kharif_2000,kharif,wheat,34.0151,71.5249,L7,4,165,280,28.0,16.0,0.2486,0.1706,-0.3336,0.2113,0.528,0.0719,0.0573,0.1626,0.3346,0.12852,0.15478,0.15478,0.25722,0.24779
KP02,Mardan,KP,2000,Kharif_2000,kharif,sugarcane,34.201,72.0476,L7,4,165,280,28.0,19.5,0.2002,0.1307,-0.2744,0.1702,0.414,0.0963,0.05,0.1252,0.2752,0.12873,0.15067,0.15067,0.22609,0.23477
KP03,Charsadda,KP,2000,Kharif_2000,kharif,wheat,34.1483,71.7311,L7,4,165,280,28.0,19.0,0.2046,0.1364,-0.2828,0.1739,0.425,0.1271,0.0507,0.1285,0.2807,0.13395,0.15819,0.15819,0.2396,0.27107
KP04,Swabi,KP,2000,Kharif_2000,kharif,sugarcane,34.1214,72.4698,L7,8,165,280,28.0,13.1,0.327,0.2312,-0.3814,0.2779,0.724,0.0323,0.0691,0.2234,0.4306,0.12003,0.13593,0.13593,0.26801,0.24325
KP05,Nowshera,KP,2000,Kharif_2000,kharif,rice,34.0153,71.9746,L7,4,165,280,28.0,21.1,0.1839,0.1226,-0.2491,0.1563,0.378,0.0887,0.0476,0.1125,0.2553,0.13256,0.15199,0.15199,0.22049,0.22871
KP06,Swat,KP,2000,Kharif_2000,kharif,rice,34.7717,72.36,L7,8,165,280,28.0,21.1,0.1801,0.1237,-0.2484,0.1531,0.369,0.0959,0.047,0.1096,0.2506,0.13797,0.1592,0.1592,0.22916,0.24314
KP07,Malakand,KP,2000,Kharif_2000,kharif,wheat,34.5683,71.9308,L7,4,165,280,28.0,15.5,0.2822,0.1718,-0.3412,0.2399,0.609,0.0731,0.0623,0.1888,0.3757,0.10679,0.12172,0.12172,0.21742,0.2157
KP08,Bannu,KP,2000,Kharif_2000,kharif,cotton,32.9847,70.6041,L7,9,165,280,28.0,23.2,0.1367,0.1,-0.2131,0.1162,0.274,0.1082,0.0405,0.0759,0.1974,0.15894,0.18612,0.18612,0.24506,0.26567
KP09,Dera Ismail Khan,KP,2000,Kharif_2000,kharif,wheat,31.8335,70.9016,L7,4,165,280,28.0,24.9,0.0967,0.0746,-0.1853,0.0822,0.191,0.1354,0.0345,0.0449,0.1484,0.18252,0.2187,0.2187,0.26555,0.30645
KP10,Abbottabad,KP,2000,Kharif_2000,kharif,wheat,34.1558,73.2194,L7,4,165,280,28.0,8.8,0.4468,0.2982,-0.4531,0.3798,1.061,-0.0396,0.087,0.3163,0.5773,0.0949,0.09641,0.09641,0.25213,0.20122
BL01,Quetta,Balochistan,2000,Kharif_2000,kharif,wheat,30.1798,66.975,L7,4,165,280,28.0,24.4,0.0962,0.0839,-0.1928,0.0817,0.189,0.1419,0.0344,0.0446,0.1478,0.22421,0.27317,0.27317,0.33128,0.38725
BL02,Turbat,Balochistan,2000,Kharif_2000,kharif,mango,26.0028,63.042,L7,3,165,280,28.0,24.4,0.128,0.1136,-0.1928,0.1088,0.256,0.1143,0.0392,0.0692,0.1868,0.21028,0.24025,0.24025,0.31076,0.35206
BL03,Hub,Balochistan,2000,Kharif_2000,kharif,cotton,25.3847,66.9875,L7,8,165,280,28.0,24.3,0.1257,0.0868,-0.1946,0.1068,0.251,0.1954,0.0389,0.0674,0.184,0.1529,0.17616,0.17616,0.2268,0.32432
BL04,Nasirabad,Balochistan,2000,Kharif_2000,kharif,rice,29.2,68.4,L7,4,165,280,28.0,24.2,0.0787,0.069,-0.1963,0.0669,0.154,0.1904,0.0318,0.031,0.1264,0.24409,0.31028,0.31028,0.36331,0.47955
BL05,Pishin,Balochistan,2000,Kharif_2000,kharif,wheat,30.5833,66.9833,L7,5,165,280,28.0,24.0,0.0836,0.0694,-0.2008,0.071,0.164,0.1683,0.0325,0.0348,0.1323,0.22503,0.28594,0.28594,0.33809,0.40903
BL06,Khuzdar,Balochistan,2000,Kharif_2000,kharif,wheat,27.8167,66.6167,L7,4,165,280,28.0,21.6,0.1479,0.1244,-0.2396,0.1257,0.299,0.1176,0.0422,0.0846,0.2112,0.19904,0.24087,0.24087,0.32449,0.35414
BL07,Sibi,Balochistan,2000,Kharif_2000,kharif,wheat,29.5432,67.877,L7,12,165,280,28.0,22.2,0.1414,0.1176,-0.2306,0.1202,0.284,0.1191,0.0412,0.0796,0.2032,0.19899,0.23944,0.23944,0.31828,0.34765
BL08,Loralai,Balochistan,2000,Kharif_2000,kharif,wheat,30.37,68.59,L7,4,165,280,28.0,24.6,0.0855,0.0782,-0.1903,0.0727,0.168,0.1639,0.0328,0.0363,0.1347,0.26013,0.32216,0.32216,0.38241,0.46817
PB01,Lahore,Punjab,2001,Rabi_2001,rabi,wheat,31.5204,74.3587,L7,4,150,100,18.5,21.9,0.1691,0.1052,-0.2347,0.1437,0.345,0.092,0.0454,0.101,0.2372,0.11961,0.13716,0.13716,0.19298,0.2055
PB02,Faisalabad,Punjab,2001,Rabi_2001,rabi,cotton,31.4187,73.0791,L7,7,150,100,18.5,25.0,0.1083,0.0659,-0.1838,0.0921,0.215,0.1045,0.0362,0.054,0.1626,0.12188,0.14223,0.14223,0.17678,0.19414
PB03,Multan,Punjab,2001,Rabi_2001,rabi,wheat,30.1978,71.4711,L7,10,150,100,18.5,25.1,0.0988,0.0614,-0.1819,0.084,0.195,0.1052,0.0348,0.0466,0.151,0.12526,0.1484,0.1484,0.18094,0.19794
PB04,Gujranwala,Punjab,2001,Rabi_2001,rabi,rice,32.1877,74.1945,L7,4,150,100,18.5,16.5,0.2505,0.1589,-0.3243,0.213,0.532,0.0761,0.0576,0.1641,0.3369,0.1133,0.13309,0.13309,0.22207,0.22196
PB05,Sheikhupura,Punjab,2001,Rabi_2001,rabi,rice,31.7167,73.985,L7,4,150,100,18.5,17.3,0.2345,0.1449,-0.3111,0.1993,0.494,0.0754,0.0552,0.1517,0.3173,0.11082,0.13079,0.13079,0.21091,0.20963
PB06,Okara,Punjab,2001,Rabi_2001,rabi,wheat,30.8101,73.449,L7,3,150,100,18.5,19.6,0.1828,0.12,-0.2726,0.1554,0.375,0.1092,0.0474,0.1117,0.2539,0.1309,0.1582,0.1582,0.229,0.24382
PB07,Sahiwal,Punjab,2001,Rabi_2001,rabi,cotton,30.6706,73.1064,L7,8,150,100,18.5,19.3,0.2232,0.1497,-0.2791,0.1897,0.468,0.0528,0.0535,0.143,0.3034,0.1218,0.13723,0.13723,0.2161,0.21009
PB08,Vehari,Punjab,2001,Rabi_2001,rabi,cotton,30.0454,72.3519,L7,5,150,100,18.5,22.5,0.1459,0.0985,-0.2258,0.124,0.294,0.108,0.0419,0.083,0.2087,0.13681,0.16144,0.16144,0.21661,0.23756
PB09,Lodhran,Punjab,2001,Rabi_2001,rabi,wheat,29.5367,71.6314,L7,10,150,100,18.5,21.3,0.1614,0.1125,-0.2455,0.1372,0.328,0.1085,0.0442,0.0951,0.2277,0.14402,0.17166,0.17166,0.23772,0.2565
PB10,Khanewal,Punjab,2001,Rabi_2001,rabi,sugarcane,30.3013,71.9325,L7,5,150,100,18.5,17.7,0.2368,0.1576,-0.3045,0.2013,0.499,0.0474,0.0555,0.1536,0.3201,0.11864,0.1373,0.1373,0.22251,0.20917
PB11,Rahim Yar Khan,Punjab,2001,Rabi_2001,rabi,sugarcane,28.4212,70.2957,L7,6,150,100,18.5,22.2,0.145,0.0989,-0.2306,0.1233,0.292,0.1071,0.0417,0.0824,0.2075,0.14132,0.16879,0.16879,0.22604,0.24235
PB12,Sialkot,Punjab,2001,Rabi_2001,rabi,rice,32.4945,74.5229,L7,8,150,100,18.5,22.6,0.1569,0.0907,-0.2235,0.1334,0.318,0.0944,0.0435,0.0917,0.2222,0.10811,0.12414,0.12414,0.17034,0.18518
PB13,Kasur,Punjab,2001,Rabi_2001,rabi,wheat,31.1162,74.449,L7,15,150,100,18.5,22.2,0.1369,0.0821,-0.2304,0.1164,0.275,0.1364,0.0405,0.0761,0.1976,0.1174,0.1425,0.1425,0.1877,0.22139
PB14,Jhang,Punjab,2001,Rabi_2001,rabi,cotton,31.2681,72.3162,L7,3,150,100,18.5,23.5,0.1285,0.0771,-0.2089,0.1092,0.257,0.0861,0.0393,0.0696,0.1875,0.11664,0.13765,0.13765,0.17824,0.18309
PB15,Bahawalpur,Punjab,2001,Rabi_2001,rabi,cotton,29.3956,71.6836,L7,5,150,100,18.5,21.4,0.1661,0.1086,-0.2429,0.1411,0.338,0.0987,0.0449,0.0987,0.2334,0.12843,0.1508,0.1508,0.21086,0.22547
SD01,Hyderabad,Sindh,2001,Rabi_2001,rabi,rice,25.396,68.3578,L7,10,150,100,22.0,20.4,0.1627,0.1206,-0.2599,0.1383,0.331,0.1183,0.0444,0.0961,0.2293,0.16056,0.19686,0.19686,0.27335,0.29678
SD02,Sukkur,Sindh,2001,Rabi_2001,rabi,wheat,27.7052,68.8574,L7,5,150,100,22.0,21.0,0.1513,0.1065,-0.2494,0.1286,0.306,0.1106,0.0427,0.0872,0.2153,0.14637,0.1796,0.1796,0.24366,0.26065
SD03,Larkana,Sindh,2001,Rabi_2001,rabi,rice,27.558,68.2247,L7,5,150,100,22.0,16.8,0.2518,0.164,-0.3204,0.214,0.535,0.0485,0.0578,0.1651,0.3385,0.11456,0.13304,0.13304,0.22257,0.20859
SD04,Nawabshah,Sindh,2001,Rabi_2001,rabi,cotton,26.2442,68.41,L7,5,150,100,22.0,21.0,0.1514,0.1009,-0.2503,0.1287,0.306,0.1138,0.0427,0.0874,0.2155,0.13471,0.16558,0.16558,0.22465,0.24327
SD05,Mirpurkhas,Sindh,2001,Rabi_2001,rabi,rice,25.5279,69.0176,L7,3,150,100,22.0,22.3,0.132,0.0874,-0.2291,0.1122,0.264,0.1312,0.0398,0.0723,0.1917,0.13728,0.16784,0.16784,0.21889,0.25
